Song,Artist,Pack,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Side,BPM,Version,Date,Version,Date,Original
REKKA RESONANCE,"REDALiCE
vs. Kobaryo",Memory Archive: Partner,夜浪 vs Nitro,PST 5,5.0,860,夜浪 vs Nitro,PRS 8+,8.9,"1,051",夜浪 vs Nitro,FTR 10+,10.7,"1,212",N/A,,,,Light,240,3.6.4,21/6/30,N/A,,✓
Seclusion,Laur feat. Sennzai,Esoteric Order,Exschwasion,PST 4,4.0,544,Exschwasion,PRS 7,7.5,762,N•Ex•T,FTR 10,10.6,"1,132",N/A,,,,Conflict,175,3.7.0,21/7/21,N/A,,✓
"Small Cloud
Sugar Candy","テヅカ × Aoi
feat. 桃雛なの",Light of Salvation,én,PST 3,3.0,548,én,PRS 6,6.5,727,én,FTR 9,9.1,919,N/A,,,,Light,220,3.7.0,21/7/21,N/A,,✓
AlterAle,"Arik Kau Delay
(アラ & かゆき & でり)",Light of Salvation,CERiNG,PST 3,3.0,728,CERiNG,PRS 6,6.0,881,CERiNG,FTR 9+,9.7,"1,277",N/A,,,,Light,220-245,3.7.0,21/7/21,N/A,,✓
"Divine Light
of Myriad",yoho,Light of Salvation,東星※神授,PST 4,4.5,798,東星※神授,PRS 7+,7.8,835,東星※神授,FTR 10+,10.8,"1,021",N/A,,,,Light,172,3.7.0,21/7/21,N/A,,✓
False Embellishment,影虎。 & ikaruga_nex,Extend Archive 1: Visions,Exschwasion,PST 3,3.5,576,Exschwasion,PRS 6,6.5,684,Exschwasion,FTR 9,9.3,969,N/A,,,,Conflict,155,3.7.0,21/7/21,N/A,,✓
HIVEMIND,かたぎり,Extend Archive 1: Visions,NITRO -unconnected-,PST 4,4.0,995,NITRO -unconnected-,PRS 8,8.6,988,NITRO -unconnected-,FTR 10,10.0,"1,252",N/A,,,,Conflict,252,3.7.0,21/7/21,N/A,,✓
Quon,DJ Noriken,WACCA,CERiNG,PST 2,2.5,425,CERiNG,PRS 6,6.0,496,CERiNG,FTR 8+,8.7,749,"XIII: The
Journey/Nitro",BYD 10,10.2,"1,044",Conflict,170,3.8.0,21/8/10,3.8.0,21/8/10,
"Let you DIVE!
(nitro rmx)",nitro (lowiro),WACCA,Nitro,PST 3,3.0,608,Nitro,PRS 6,6.5,819,Nitro,FTR 9,9.4,"1,049",N/A,,,,Light,185,3.8.0,21/8/10,N/A,,✓
with U,t+pazolite & Massive New Krew feat. リリィ (CV: 青木志貴),WACCA,én,PST 2,2.5,448,én,PRS 6,6.5,649,én,FTR 9,9.4,932,N/A,,,,Light,155,3.8.0,21/8/10,N/A,,
Mazy Metroplex,aran,WACCA,Exschwasion,PST 3,3.0,453,Exschwasion,PRS 7+,7.8,704,Exschwasion,FTR 9+,9.7,952,N/A,,,,Light,155,3.8.0,21/8/10,N/A,,
GENOCIDER,DJ Myosuke,WACCA,Toaster,PST 4,4.5,832,Toaster,PRS 8+,8.9,"1,025",Toaster,FTR 10+,10.7,"1,483",N/A,,,,Conflict,250-390,3.8.0,21/8/10,N/A,,
"Sheriruth
(Laur Remix)",Laur,Memory Archive: Original,Nitro,PST 4,4.0,671,Nitro,PRS 7,7.8,795,東星※恣意,FTR 10,10.6,"1,134",N/A,,,,Conflict,200,3.8.0,21/8/10,N/A,,✓
blue comet,ああああ,Extend Archive 1: Visions,Toaster,PST 3,3.5,494,Toaster,PRS 5,5.0,645,Toaster,FTR 8,8.2,776,N/A,,,,Light,100-172,3.8.2,21/8/24,N/A,,✓
Evening in Scarlet,Freezer feat. 妃莓,Memory Archive: Partner,Nitroだー！,PST 4,4.0,530,Nitroだー！,PRS 7,7.0,638,Nitroだー！,FTR 9,9.5,922,N/A,,,,Conflict,170,3.8.2,21/8/24,N/A,,✓
"ENERGY
SYNERGY MATRIX",Tanchiky,Extend Archive 1: Visions,POWER NITRO,PST 3,3.5,471,POWER NITRO,PRS 7,7.0,608,POWER NITRO,FTR 9,9.6,922,N/A,,,,Conflict,160,3.8.4,21/9/8,N/A,,
G e n g a o z o,-45,Extend Archive 1: Visions,_ P A S T,PST 4,4.0,580,_ P R E S E N T,PRS 8,8.1,870,_ F U T U R E,FTR 10,10.2,"1,353",N/A,,,,Conflict,153,3.8.6,21/9/28,N/A,,
lastendconductor,zts,Memory Archive: Pop/Recommended,Nitro,PST 3,3.5,726,Nitro,PRS 7,7.5,901,Nitro,FTR 9,9.4,"1,209",Toaster,BYD 10,10.1,"1,339",Conflict,139,3.8.6,21/9/28,3.8.6,21/9/28,
goldenslaughterer,zts,Memory Archive: Pop/Recommended,Exschwasion,PST 4,4.0,864,Exschwasion,PRS 6,6.5,880,Exschwasion,FTR 9+,9.7,"1,326",N/A,,,,Conflict,133,3.8.6,21/9/28,N/A,,
Redolent Shape,Sanaas,Memory Archive: Original,絶滅,PST 4,4.5,570,絶滅,PRS 7,7.5,717,絶滅,FTR 10,10.2,"1,088",N/A,,,,Conflict,150,3.8.8,21/10/21,N/A,,✓
Cosmica,Nhato,Shared Time,Nitro,PST 2,2.5,428,Nitro,PRS 5,5.0,566,Nitro missing Toaster.,FTR 8+,8.8,773,N/A,,,,Conflict,110,3.9.0,21/11/11,N/A,,✓
Ascent,TANUKI,Shared Time,CER↑NG,PST 3,3.0,455,CER↑NG,PRS 6,6.0,626,"Exschwas↑on
with CER↑NG",FTR 9+,9.8,"1,023",N/A,,,,Light,145,3.9.0,21/11/11,N/A,,✓
"Live Fast
Die Young",anubasu-anubasu,Shared Time,Nitro,PST 4,4.5,565,Nitro,PRS 8,8.1,837,Nitro with Toaster.,FTR 10,10.6,"1,292",N/A,,,,Light,153,3.9.0,21/11/11,N/A,,✓
Summer Fireworks of Love,"karatoP⍺ոchii
feat. はるの",Memory Archive: Original,夏のNitro,PST 3,3.0,478,夏のNitro,PRS 6,6.5,641,夏のNitro,FTR 9+,9.9,"1,088",N/A,,,,Light,160,3.9.0,21/11/11,N/A,,✓
PRAGMATISM -RESURRECTION-,Laur,Eternal Core,N/A,,,,N/A,,,,N/A,,,,THE LAST DREAM,BYD 11,11.0,"1,502",Light,174,N/A,,3.10.0,21/12/9,✓
Lights of Muse,Ayatsugu_Otowa,Muse Dash,antymis,PST 2,2.5,333,antymis,PRS 6,6.0,438,antymis,FTR 8+,8.9,580,N/A,,,,Light,180,3.11.0,21/12/24,N/A,,
Final Step!,Lime,Muse Dash,CERiNG,PST 3,3.5,625,CERiNG,PRS 6,6.5,684,CERiNG,FTR 9,9.4,"1,056",N/A,,,,Conflict,180,3.11.0,21/12/24,N/A,,
Haze of Autumn,"karatoP⍺ոchii
feat. はるの",Muse Dash,秋のén,PST 3,3.5,533,秋のén,PRS 7,7.0,733,秋のén,FTR 9+,9.8,"1,077",N/A,,,,Light,180,3.11.0,21/12/24,N/A,,✓
Medusa,HiTECH NINJA,Muse Dash,Toaster,PST 4,4.5,550,Toaster,PRS 7,7.0,645,Toaster,FTR 10,10.2,931,N/A,,,,Conflict,165,3.11.0,21/12/24,N/A,,
init(),kamome sano,Memory Archive: Partner,Toaster,PST 4,4.0,713,Toaster,PRS 7,7.5,957,Toaster,FTR 9+,9.8,"1,204",N/A,,,,Conflict,180,3.11.2,22/1/20,N/A,,✓
"Ävril
-Flicka i krans-",Rigël Theatre,Arcaea,Aster -Får i Vaaris-,PST 3,3.0,459,Aster -Får i Vaaris-,PRS 6,6.0,607,Aster -Får i Vaaris-,FTR 8,8.3,851,N/A,,,,Light,130,3.12.0,22/2/17,N/A,,
NULCTRL,Silentroom,Arcaea,moonquay [CON],PST 3,3.0,407,moonquay [AUX],PRS 7,7.5,410,moonquay [NUL],FTR 9,9.5,715,N/A,,,,Conflict,100,3.12.0,22/2/17,N/A,,
Sakura Fubuki,Street,Arcaea,én,PST 3,3.5,526,én,PRS 6,6.5,571,én,FTR 9,9.3,837,N/A,,,,Light,175,3.12.0,22/2/17,N/A,,
INTERNET OVERDOSE,"Aiobahn
feat. KOTOKO",Memory Archive: Pop/Recommended,Nitro Ch.,PST 3,3.0,430,Nitro Ch.,PRS 6,6.5,578,Nitro Ch.,FTR 8,8.4,657,N/A,,,,Light,163,3.12.0,22/2/17,N/A,,
Macrocosmic Modulation,JAKAZiD,Memory Archive: Original,Exschwas↕on,PST 4,4.0,608,Exschwas↕on,PRS 7+,7.8,794,Exschwas↕︎on,FTR 9+,9.8,"1,117",N/A,,,,Light,170,3.12.0,22/2/17,N/A,,✓
Kissing Lucifer,ETIA.,Memory Archive: Original,NITRO,PST 4,4.5,639,NITRO,PRS 7+,7.8,770,NITRO,FTR 10,10.4,"1,183",N/A,,,,Conflict,170,3.12.0,22/2/17,N/A,,✓
NEO WINGS,"SOUND HOLIC
feat. Nana Takahashi",Memory Archive: Partner,Toaster,PST 4,4.0,591,Toaster,PRS 7,7.5,840,Toaster,FTR 10,10.2,"1,328",N/A,,,,Conflict,168,3.12.0,22/2/17,N/A,,✓
DDD,はがね,Arcaea,én,PST 2,2.5,363,én,PRS 6,6.5,484,én,FTR 8,8.5,653,N/A,,,,Light,138,3.12.4,22/3/23,N/A,,
Head BONK ache,"saaa feat.
MC iwata Bros.",Memory Archive: Variety,Nitro,PST 4,4.0,570,Nitro,PRS 7,7.0,725,Nitro,FTR 9,9.4,"1,061",N/A,,,,Conflict,132-165,3.12.4,22/3/23,N/A,,
Mistempered Malignance,"s-don vs.
nitro (lowiro)",Memory Archive: Partner,N/A,,,,N/A,,,,"《WARNING》
Arcaea Charting Team
「Maledictive Misanthrope」",FTR ?,0.0,944,N/A,,,,Conflict,155,3.12.6,22/4/1,N/A,,✓
Prism,bermei.inazawa feat. Chata,Lanota 2,CERiNG,PST 2,2.0,476,CERiNG,PRS 5,5.0,544,CERiNG,FTR 8,8.0,785,N/A,,,,Light,107-109,3.12.8,22/4/28,N/A,,
Protoflicker,Silentroom,Lanota 2,antymis <prototype>,PST 3,3.0,510,antymis <prototype>,PRS 7,7.0,633,antymis <prototype>,FTR 9+,9.8,"1,042",N/A,,,,Conflict,140,3.12.8,22/4/28,N/A,,
Stasis,Maozon,Lanota 2,東星,PST 4,4.5,848,東星,PRS 7,7.0,935,東星,FTR 10+,10.7,"1,521",N/A,,,,Light,180,3.12.8,22/4/28,N/A,,
"Dancin' on a
Cat's Paw",Ino(chronoize),Arcaea,antymis,PST 3,3.0,417,antymis,PRS 6,6.0,593,antymis,FTR 9,9.2,891,N/A,,,,Light,148,3.12.8,22/4/28,N/A,,
"PICO-Pico-
Translation!","t+pazolite, ななひら, Cranky, Pico*",Memory Archive: Variety,Translated by én,PST 2,2.0,543,Translated by én,PRS 6,6.0,723,Translated by én,FTR 9,9.3,"1,049",N/A,,,,Conflict,185,3.12.8,22/4/28,N/A,,
san skia,ユアミトス,Arcaea,CERiNG,PST 3,3.5,670,CERiNG,PRS 6,6.0,783,CERiNG,FTR 8,8.3,"1,046",N/A,,,,Light,170,3.12.10,22/5/25,N/A,,✓
µ,Frums,Memory Archive,N↕TRO v1.0.5,PST 3,3.5,825,N↕TRO v1.0.5,PRS 7,7.5,986,N↕TRO v1.0.5,FTR 9+,9.7,"1,256",N/A,,,,Light,140-190,3.12.10,22/5/25,N/A,,✓
Defection,"TeddyLoid
feat. DELTA",Final Verdict,"Monolith
Incarnate",PST 3,3.5,588,"Monolith
Incarnate",PRS 6,6.5,800,"Monolith
Incarnate",FTR 9+,9.8,"1,141",N/A,,,,Light,160,4.0.0,22/7/7,N/A,,✓
"Infinite Strife,","BlackYooh
vs. siromaru",Final Verdict,Inner Labyrinth,PST 4,4.0,888,Inner Labyrinth,PRS 7,7.5,"1,081",Inner Labyrinth,FTR 9+,9.9,"1,511",Inner Labyrinth,BYD 10+,10.9,"1,633",Conflict,198,4.0.0,22/7/7,4.0.0,22/7/7,✓
World Ender,"sasakure.UK
× TJ.hangneil",Final Verdict,Imaginary Sky,PST 4,4.0,616,Imaginary Sky,PRS 7+,7.8,850,Imaginary Sky,FTR 9+,9.9,"1,225",Imaginary Sky,BYD 11,11.2,"1,661",Light,190-280,4.0.0,22/7/7,4.0.0,22/7/7,✓
Pentiment,Nothing But Requiem with Museo,Final Verdict,Paradox Blight,PST 7,7.0,911,Paradox Blight,PRS 8+,8.7,"1,055",Paradox Blight,FTR 10,10.3,"1,345",Paradox Blight,BYD 11,11.4,"1,741",Conflict,200-222,4.0.0,22/7/7,4.0.0,22/7/7,✓
Arcana Eden,Team Grimoire vs. Sakuzyo vs. Laur,Final Verdict,Eye of the Storm,PST 5,5.5,"1,097",Eye of the Storm,PRS 8+,8.7,"1,310",Eye of the Storm,FTR 10,10.5,"1,792",Eye of the Storm,BYD 11,11.4,"2,134",Conflict,211,4.0.0,22/7/7,4.0.0,22/7/7,✓
Testify,void (Mournfinale) feat. 星熊南巫,Final Verdict,Eternal¦PAST,PST 7+,7.8,"1,001",Adverse¦PRESENT,PRS 9,9.4,"1,225",Black¦FUTURE,FTR 10+,10.8,"1,766",Silent¦END,BYD 12,12.0,"2,221",Silent,178,4.0.0,22/7/7,4.0.0,22/7/7,✓
"Altair
(feat. *spiLa*)","kamome sano
& you",Arcaea,antymis,PST 2,2.5,670,antymis,PRS 6,6.0,828,antymis,FTR 8,8.5,830,N/A,,,,Light,170,4.0.0,22/7/7,N/A,,
Redraw the Colorless World,MisomyL,Arcaea,antymis ~無色~,PST 4,4.0,568,antymis ~彩色~,PRS 6,6.5,680,antymis ~虹色~,FTR 9,9.2,886,N/A,,,,Light,155,4.0.0,22/7/7,N/A,,
Trap Crow,Puru,Arcaea,CERiNG + Nitro,PST 4,4.5,876,CERiNG + Nitro,PRS 7+,7.8,898,CERiNG + Nitro,FTR 9+,9.9,"1,074",N/A,,,,Conflict,80,4.0.0,22/7/7,N/A,,✓
PUPA,モリモリあつし,Memory Archive: Variety,én -胡蝶の夢-,PST 4,4.0,374,én -胡蝶の夢-,PRS 7+,7.8,684,én -胡蝶の夢-,FTR 10,10.4,"1,099",N/A,,,,Conflict,202,4.0.0,22/7/7,N/A,,
Loveless Dress,かねこちはる,Silent Answer,Final Prayer,PST 3,3.5,537,Final Prayer,PRS 6,6.5,630,Final Prayer,FTR 9,9.6,850,N/A,,,,Silent,99,4.0.255,22/7/13,N/A,,✓
Last,onoken,Silent Answer,Arcaea,PST 4,4.0,680,Arcaea,PRS 7,7.0,781,Arcaea,FTR 9,9.0,831,N/A,,,,Silent,175,4.0.255,22/7/13,N/A,,✓
Last | Moment,onoken,Silent Answer,N/A,,,,N/A,,,,N/A,,,,Arcaea,BYD 9,9.6,888,Silent,175,N/A,,4.0.255,22/7/13,✓
Last | Eternity,onoken,Silent Answer,N/A,,,,N/A,,,,N/A,,,,Arcaea,BYD 9+,9.7,790,Silent,175,N/A,,4.0.255,22/7/13,✓
Callima Karma,"t+pazolite
vs. Feryquitous",Silent Answer,Forlorn Dream,PST 3,3.5,"1,024",Forlorn Dream,PRS 7,7.5,989,Forlorn Dream,FTR 9+,9.8,"1,222",N/A,,,,Silent,95,4.0.255,22/7/13,N/A,,✓
Heart,"削除
(Violin: Katali)",O.N.G.E.K.I. 2,"écologie
(from SEGA)",PST 1,1.0,428,"écologie
(from SEGA)",PRS 5,5.0,575,"écologie
(from SEGA)",FTR 9,9.3,872,N/A,,,,Light,80,4.1.0,22/10/4,N/A,,
Ai Drew,Feryquitous,O.N.G.E.K.I. 2,"moonquay
【新入生】",PST 3,3.5,694,moonquay v.EXPERT,PRS 6,6.5,732,moonquay v.MASTER,FTR 9+,9.8,"1,066",N/A,,,,Conflict,175,4.1.0,22/10/4,N/A,,
FLUFFY FLASH,Kobaryo,O.N.G.E.K.I. 2,Toaster,PST 3,3.5,787,Toaster,PRS 6,6.5,946,Toaster,FTR 9+,9.8,"1,329",N/A,,,,Light,252,4.1.0,22/10/4,N/A,,
"Good bye, Merry-Go-Round.",Yooh,O.N.G.E.K.I. 2,絶滅,PST 4,4.5,679,絶滅,PRS 7,7.5,696,絶滅,FTR 10,10.5,"1,084",N/A,,,,Conflict,185,4.1.0,22/10/4,N/A,,
LAMIA,BlackY,O.N.G.E.K.I. 2,夜浪,PST 5,5.0,826,夜浪 「ノブレス・オブリージュ」,PRS 8,8.5,885,"[漆黒の執行者]
夜浪",FTR 10+,10.9,"1,385",N/A,,,,Conflict,199,4.1.0,22/10/4,N/A,,
cocoro*cosmetic,KOTONOHOUSE,Memory Archive: Original,Nitro,PST 3,3.0,525,Nitro,PRS 7,7.0,687,Nitro,FTR 9,9.2,"1,025",N/A,,,,Light,144,4.1.4,22/11/10,N/A,,✓
Free Myself,lapix feat. mami,Memory Archive: Partner,Exschwasion,PST 4,4.5,662,Exschwasion,PRS 7,7.5,785,Exschwasion -unbound-,FTR 10,10.0,"1,132",N/A,,,,Light,153,4.1.4,22/11/10,N/A,,✓
Dialnote,七草くりむ,Arcaea,Nitroです。,PST 3,3.0,393,Nitroです。,PRS 6,6.0,548,Nitroです。,FTR 8+,8.8,684,N/A,,,,Light,130,4.1.6,22/12/22,N/A,,
Capella,ARForest,Memory Archive: Partner,0°Nitro,PST 4,4.5,884,0°Nitro,PRS 7+,7.8,904,0°Nitro,FTR 10,10.2,"1,159",N/A,,,,Light,210,4.1.6,22/12/22,N/A,,✓
"Tsuki ni Murakumo, Hana ni Kaze",幽閉サテライト,Extend Archive 2: Chronicles,"Lovely Visitor
「Toaster」",PST 3,3.0,468,"Lovely Visitor
「Toaster」",PRS 6,6.0,610,"Lovely Visitor
「Toaster」",FTR 8+,8.7,740,N/A,,,,Conflict,160,4.2.0,23/1/26,N/A,,
MANTIS (Arcaea Ultra-Bloodrush VIP),"Akira Complex
feat. kiraku",Extend Archive 2: Chronicles,ANTyMIS,PST 3,3.0,575,ANTyMIS,PRS 7,7.0,760,ANTyMIS,FTR 9,9.3,"1,014",N/A,,,,Conflict,135,4.2.0,23/1/26,N/A,,
Astra walkthrough,paraoka,Extend Archive 2: Chronicles,Aster,PST 4,4.5,769,Aster,PRS 7+,7.8,886,Aster join Toaster.,FTR 9+,9.9,"1,191",N/A,,,,Conflict,225,4.2.0,23/1/26,N/A,,
World Fragments III(radio edit),xi,Extend Archive 2: Chronicles,én,PST 3,3.5,777,én,PRS 7,7.0,999,"én supported
by Nitro",FTR 9+,9.8,"1,387",N/A,,,,Light,200,4.2.0,23/1/26,N/A,,
Chronicle,Lime,Extend Archive 2: Chronicles,夜浪 -Annales Historiae-,PST 5,5.0,928,夜浪 -Annales Historiae-,PRS 8+,8.9,"1,077",夜浪 -Annales Historiae-,FTR 10,10.4,"1,264",N/A,,,,Light,221,4.2.0,23/1/26,N/A,,✓
NULL APOPHENIA,N²,Memory Archive: Partner,夜浪,PST 4,4.5,990,夜浪,PRS 8+,8.8,"1,098","東星 vs 夜浪
《APOPHÄNIE》",FTR 10,10.6,"1,299",N/A,,,,Conflict,177,4.2.0,23/1/26,N/A,,✓
CYCLES,"Masayoshi
Minoshima
feat. 綾倉盟",maimai 2,Nitro,PST 2,2.0,389,N-Helix,PRS 5,5.0,430,N-Helix,FTR 8+,8.8,695,N/A,,,,Light,135,4.3.0,23/3/2,N/A,,
MAXRAGE,EBIMAYO,maimai 2,EXSCHWASION,PST 3,3.5,696,EXSCHWASION,PRS 6,6.5,760,EXSCHWASION,FTR 9+,9.9,"1,184",N/A,,,,Conflict,222,4.3.0,23/3/2,N/A,,
[X],Blacklolita,maimai 2,東星,PST 4,4.5,594,東星,PRS 7+,7.8,782,東星,FTR 10,10.4,"1,190",N/A,,,,Conflict,162-180,4.3.0,23/3/2,N/A,,
TEmPTaTiON,かねこちはる,maimai 2,EXtINcTiON,PST 5,5.0,627,EXtINcTiON,PRS 8,8.2,768,EXtINcTiON,FTR 10+,10.9,"1,099",N/A,,,,Light,160,4.3.0,23/3/2,N/A,,
"Let's Rock
(Arcaea mix)","ikaruga_nex
vs. FALCHiON",Extend Archive 2: Chronicles,Luxance,PST 3,3.0,541,Luxance,PRS 7,7.0,963,Luxance,FTR 9+,9.7,"1,177",N/A,,,,Conflict,210,4.3.0,23/3/2,N/A,,
Crimson Throne,Dimier√Lisb,Memory Archive: Partner,Toaster,PST 4,4.0,727,Toaster,PRS 8,8.0,"1,079",Toaster,FTR 10,10.4,"1,313",N/A,,,,Conflict,210,4.3.0,23/3/2,N/A,,✓
"Hiiro Gekka,
Kyoushou no Zetsu (nayuta 2017 ver.)","nayuta × 黒鳥
(EastNewSound)",Memory Archive: Pop/Recommended,絶滅 Exschwasion 絶滅 Exschwasion,PST 3,3.5,719,絶滅 Exschwasion 絶滅 Exschwasion,PRS 6,6.5,709,絶滅 Exschwasion 絶滅 Exschwasion,FTR 10,10.3,"1,126",N/A,,,,Conflict,150,4.3.0,23/3/2,N/A,,
Manic Jeer,ルゼ,Memory Archive: Original,NITR<O>,PST 4,4.0,698,NITR<O>,PRS 7+,7.8,875,NITR<O>,FTR 10,10.6,"1,286",N/A,,,,Conflict,195,4.3.0,23/3/2,N/A,,✓
PRIMITIVE LIGHTS,TAG,Memory Archive: Original,東星※原始の灯,PST 5,5.5,785,東星※原始の灯,PRS 8+,8.8,"1,073",東星※原始の灯,FTR 10+,10.7,"1,524",N/A,,,,Light,205,4.3.2,23/3/9,N/A,,✓
eden,"""漆黒"" の堕天使
《Gram》 †Versus† ""聖刻""
の熾天使 《Gram》",WACCA 2,反水,PST 4,4.5,826,反水,PRS 8,8.2,"1,194",反水,FTR 10,10.5,"1,365",N/A,,,,Conflict,246,2.0.0c 5.2.0,23/3/16 23/11/30,N/A,,
XTREME,USAO,WACCA 2,絶滅,PST 4,4.5,752,絶滅,PRS 7+,7.8,831,絶滅,FTR 10,10.5,"1,258",N/A,,,,Conflict,205,2.0.0c 5.2.0,23/3/16 23/11/30,N/A,,
Meta-Mysteria,DJ Noriken,WACCA 2,夜浪,PST 5,5.0,844,夜浪,PRS 7+,7.8,905,VII: THE CHARIOT/夜浪,FTR 10+,10.8,"1,309",N/A,,,,Light,205,2.0.0c 5.2.0,23/3/16 23/11/30,N/A,,
"Cosmo
Pop Funclub",ナユタン星人,CHUNITHM 3,Nitro NEW!!,PST 2,2.5,352,Nitro NEW!!,PRS 6,6.0,591,Nitro NEW!!,FTR 8+,8.8,809,N/A,,,,Light,129,4.4.0,23/3/23,N/A,,
IMPACT,"USAO feat.
光吉猛修",CHUNITHM 3,ÉCOLOGIE IMPACT,PST 3,3.5,723,ÉN IMPACT,PRS 7+,7.8,913,én feat. écologie,FTR 9,9.6,"1,231",Toaster NEW!!,BYD 10,10.4,"1,392",Light,210,4.4.0,23/3/23,4.4.0,23/3/23,
Genesis,Morrigan feat. Lily,CHUNITHM 3,Exschwasion,PST 4,4.0,587,Exschwasion,PRS 7,7.0,838,Exschwasion,FTR 9+,9.9,867,N/A,,,,Conflict,150,4.4.0,23/3/23,N/A,,
Trrricksters!!,"s-don vs.
翡乃イスカ",CHUNITHM 3,絶滅,PST 4,4.5,561,絶滅,PRS 7,7.5,784,絶滅,FTR 10,10.1,"1,183",N/A,,,,Conflict,155,4.4.0,23/3/23,N/A,,
Spider's Thread,"きくお ×
cosMo＠暴走P
feat. 影縫英",CHUNITHM 3,夜浪 <->,PST 4,4.5,794,夜浪 <->,PRS 7+,7.8,764,夜浪 <->,FTR 10+,10.8,"1,203",N/A,,,,Conflict,180,4.4.0,23/3/23,N/A,,
0xe0e1ccull,f→n,Black Fate,N/A,,,,N/A,,,,"《WARNING》
Arcaea Charting Team vs -chromaesthesia-",FTR ?,0.0,"1,530",N/A,,,,Conflict,198-216,4.4.2,23/4/1,N/A,,✓
GIMMICK,Ms.Sill,Extend Archive 2: Chronicles,Nitro,PST 2,2.5,421,Nitro,PRS 6,6.5,598,antymis + Nitro,FTR 9,9.5,733,N/A,,,,Conflict,143,4.4.4,23/4/27,N/A,,
"Lost Emotion
feat. nomico",Masayoshi Minoshima(ALR),Extend Archive 2: Chronicles,"ポーカーフェイスの
Toaster",PST 3,3.5,602,"ポーカーフェイスの
Toaster",PRS 7,7.0,780,"ポーカーフェイスの
Toaster",FTR 9,9.3,"1,123",N/A,,,,Light,172,4.4.4,23/4/27,N/A,,
"New York
Back Raise",saaa + kei_iwata + stuv + わかどり,Memory Archive: Variety,"Exschwasion
「CHECK」",PST 4,4.5,762,"Exschwasion
「RAISE」",PRS 7,7.0,803,"Exschwasion
「ALL IN」",FTR 9+,9.9,"1,091",N/A,,,,Conflict,160,4.4.4,23/4/27,N/A,,
"The Survivor
(Game Edit)",Taishi,Memory Archive: Variety,Nitro,PST 3,3.5,817,Nitro,PRS 6,6.5,750,Nitro,FTR 9+,9.9,"1,100",N/A,,,,Conflict,132,4.4.4,23/4/27,N/A,,
Lawless Point,La prière,Extend Archive 2: Chronicles,Luxance,PST 3,3.0,476,Luxance,PRS 6,6.0,630,Luxance,FTR 9,9.0,838,N/A,,,,Conflict,148,4.4.6,23/5/25,N/A,,
Hybris (The one who shattered),"qfeileadh
feat. のあ",Extend Archive 2: Chronicles,Exschwasion,PST 4,4.5,757,Exschwasion,PRS 7+,7.8,973,Exschwasion,FTR 9+,9.8,"1,196",N/A,,,,Conflict,158,4.4.6,23/5/25,N/A,,
Galactic Love,La prière,Memory Archive: Pop/Recommended,én,PST 3,3.0,513,én,PRS 6,6.5,694,én,FTR 9,9.0,813,N/A,,,,Light,145,4.4.6,23/5/25,N/A,,
Lost in the Abyss,FELT,Memory Archive: Pop/Recommended,Nitro,PST 3,3.5,907,Nitro,PRS 6,6.5,908,Nitro,FTR 9+,9.7,"1,179",N/A,,,,Conflict,183,4.4.6,23/5/25,N/A,,
To the Milky Way,黒魔,Memory Archive: Partner,Nitroだー！,PST 5,5.0,928,Nitroだー！,PRS 8+,8.9,"1,154",Nitroだー！,FTR 10,10.5,"1,392",N/A,,,,Light,186,4.4.6,23/5/25,N/A,,✓
Bullet Waiting for Me (James Landino remix),Nikki Simmons,Cytus II,CERiNG,PST 2,2.5,325,CERiNG,PRS 4,4.5,390,CERiNG,FTR 8,8.1,701,N/A,,,,Light,107,4.5.0,23/6/28,N/A,,
Used to be,KIVΛ,Cytus II,Luxance,PST 4,4.0,537,Luxance,PRS 6,6.5,675,Luxance + Nitro,FTR 9,9.2,799,N/A,,,,Light,140,4.5.0,23/6/28,N/A,,
Devillic Sphere,3R2,Cytus II,₸öα$†ε₹,PST 4,4.0,490,₸öα$†ε₹,PRS 7+,7.8,692,₸öα$†ε₹,FTR 9+,9.9,"1,129",N/A,,,,Conflict,160,4.5.0,23/6/28,N/A,,
Lucid Traveler,"Akira Complex
vs. 3R2",Cytus II,Toaster vs ₸öα$†ε₹,PST 4,4.5,634,Toaster vs ₸öα$†ε₹,PRS 8+,8.9,"1,006",Toaster vs ₸öα$†ε₹,FTR 10,10.4,"1,341",N/A,,,,Conflict,170-200,4.5.0,23/6/28,N/A,,✓
CHAOS,Æsir,Cytus II,絶滅,PST 5,5.5,646,絶滅,PRS 7,7.5,848,絶滅,FTR 10+,10.9,"1,369",N/A,,,,Conflict,150,4.5.0,23/6/28,N/A,,
INTERNET YAMERO,"Aiobahn
feat. KOTOKO",Memory Archive: Pop/Recommended,該当チャンネルが停止されたため、 この譜面は再生できません。,PST 4,4.5,677,該当チャンネルが停止されたため、 この譜面は再生できません。,PRS 7+,7.8,987,該当チャンネルが停止されたため、 この譜面は再生できません。,FTR 9+,9.9,"1,222",N/A,,,,Conflict,185,4.5.0,23/6/28,N/A,,
syūten,"Apo11o ""COLLAPSAR"" program feat.
大瀬良あい",Cytus II 2,antymīs,PST 2,2.0,395,antymīs,PRS 5,5.0,446,antymīs,FTR 8,8.5,592,N/A,,,,Light,76-96,4.6.0,23/7/19,N/A,,
